file_identifier;key;value
10e18963ecf667055e93e6f745f7bb41;file_size;359.88 Ko
10e18963ecf667055e93e6f745f7bb41;file_name;13546-AVIS-SOC-GLASSDOOR-E12966_P1.html
10e18963ecf667055e93e6f745f7bb41;import_date;29/04/2023 18:55:03
10e18963ecf667055e93e6f745f7bb41;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13546-AVIS-SOC-GLASSDOOR-E12966_P1.html
10e18963ecf667055e93e6f745f7bb41;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13546-AVIS-SOC-GLASSDOOR-E12966_P1.html
10e18963ecf667055e93e6f745f7bb41;file_pattern;*AVIS-SOC*
7281254110ababe26960f4f88ef3a320;file_size;367.28 Ko
7281254110ababe26960f4f88ef3a320;file_name;13546-AVIS-SOC-GLASSDOOR-E12966_P2.html
7281254110ababe26960f4f88ef3a320;import_date;29/04/2023 18:55:03
7281254110ababe26960f4f88ef3a320;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13546-AVIS-SOC-GLASSDOOR-E12966_P2.html
7281254110ababe26960f4f88ef3a320;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13546-AVIS-SOC-GLASSDOOR-E12966_P2.html
7281254110ababe26960f4f88ef3a320;file_pattern;*AVIS-SOC*
c6b785201b4af4759e4062cd8deb274f;file_size;483.96 Ko
c6b785201b4af4759e4062cd8deb274f;file_name;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html
c6b785201b4af4759e4062cd8deb274f;import_date;29/04/2023 18:55:04
c6b785201b4af4759e4062cd8deb274f;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13550-AVIS-SOC-GLASSDOOR-E10686_P1.html
c6b785201b4af4759e4062cd8deb274f;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13550-AVIS-SOC-GLASSDOOR-E10686_P1.html
c6b785201b4af4759e4062cd8deb274f;file_pattern;*AVIS-SOC*
a637931e1a2645ac74f3c8367ef61bd9;file_size;486.89 Ko
a637931e1a2645ac74f3c8367ef61bd9;file_name;13550-AVIS-SOC-GLASSDOOR-E10686_P2.html
a637931e1a2645ac74f3c8367ef61bd9;import_date;29/04/2023 18:55:04
a637931e1a2645ac74f3c8367ef61bd9;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13550-AVIS-SOC-GLASSDOOR-E10686_P2.html
